Nombre de la serie;Unidad de medida;Base;Periodicidad;Fuente;Descripción;Notas
Tasa de política monetaria;%;;Dato fin de mes;Fuente: Banco de la República;La tasa de intervención de política monetaria es la tasa de interés mínima que el Banco de la República cobra a las entidades financieras por los préstamos que les hace mediante las operaciones de mercado abierto (OMA) que se otorgan en las subastas de expansión monetaria a un día hábil (plazo overnight). Esta tasa es el principal mecanismo de intervención de política monetaria usado por el Banco de la República para afectar la cantidad de dinero que circula en la economía. La Junta Directiva del Banco de la República define la tasa de intervención de política monetaria y sus decisiones tienen vigencia a partir del día hábil siguiente a la sesión de la Junta.;" Nota aclaratoria: La Junta Directiva del Banco de la República define la tasa de intervención de política monetaria, la cual corresponde a la tasa mínima de las subastas de expansión monetaria a un día. Las decisiones de modificación de la tasa de intervención tienen usualmente vigencia a partir del día hábil siguiente a la sesión de la Junta Directiva.

"
Índice de Precios al Consumidor (IPC);índice;2018;Variación porcentual  mensual;Fuente: Departamento Administrativo Nacional de Estadística (DANE);El índice de precios al consumidor (IPC) es un indicador económico que mide la evolución del costo promedio de una canasta de bienes y servicios representativa del consumo final de los hogares, expresado en relación con un período base para medir el costo de vida en Colombia. El dato del IPC, en Colombia, lo calcula mensualmente el DANE.;" Nota aclaratoria: De acuerdo con el literal j) del artículo 2 del Decreto 3167 de 1968 le corresponde al DANE ""Establecer índices de precios a nivel del productor, del distribuidor y del consumidor (….)"", y el literal i) del numeral 1 del artículo 2 del Decreto 262 de 2004 el DANE debe ""certificar la información estadística, siempre que se refiera a resultados generados, validados y aprobados por el Departamento.""

 Nota aclaratoria: Consulte la plataforma que ha dispuesto el DANE por medio de la cual expide y certifica los Índices de Precios al Consumidor en el enlace https://www.dane.gov.co/index.php/estadisticas-por-tema/precios-y-costos/indice-de-precios-al-consumidor-ipc/ipc-informacion-tecnica

 Nota aclaratoria: La inflación total del Índice de Precios al Consumidor se define como la variación porcentual del IPC entre dos periodos. En particular la inflación anual se mide tomando el IPC de un mes y calculando su variación frente al dato del mismo mes del año anterior.

   Nota aclaratoria: La última actualización metodológica realizada por el DANE- para el cálculo del IPC - (i.e. el Índice de Precios al Consumidor – Base 2018) amplió la clasificación de 9 grupos a 12 divisiones de gasto asociada a  la serie ""IPC por división de gasto""

   Nota aclaratoria: Para la serie ""IPC por división de gasto"" del Índice de precios al consumidor – Base 2018- las variaciones anuales son calculadas como la relación entre el índice del mes de referencia (t) y el índice de mes de referencia del año anterior (t-12). Debido a que, desde enero de 2019, el IPC es producido en una nomenclatura basada en la COICOP, algunas subclases están compuestas por bienes y servicios que a su vez estaban ubicados en diferentes gastos básicos del IPC anterior (redistribuidos), razón por la cual no es posible realizar la comparación. En otros casos las subclases ingresan por primera vez en la medición (son nuevas). Adicionalmente, por el hecho de comparar índices que son agregados con ponderaciones y bases distintas (en los periodos t y t-12), la variación anual de algunos agregados (durante los meses de 2019) no necesariamente se encontrará dentro del rango de las variaciones anuales de sus componentes.

   Nota aclaratoria: Entre enero de 1979 y diciembre de 1989 para la serie ""IPC por ciudad"" del Índice de Precios al Consumidor – Base 2018 el IPC incluía solamente a Barranquilla, Bogotá, Bucaramanga, Cali, Manizales, Medellín y Pasto. Luego, en enero de 1989, se amplió la cobertura geográfica a trece ciudades, al incluir a Pereira, Cartagena, Montería, Villavicencio, Cúcuta y Neiva, y a partir de enero de 2009 el número de ciudades pasó a veinticuatro, incluyendo a Riohacha, San Andrés, Valledupar, Santa Marta, Quibdó, Popayán, Armenia, Tunja, Ibagué, Sincelejo y Florencia.

   Nota aclaratoria: A partir de enero de 2019 el ""IPC por ciudad""  base diciembre 2018 se publica a dos decimales como lo certifica el Departamento Administrativo Nacional de Estadística - DANE, que es la entidad responsable de la generación de esta estadística.

   Nota aclaratoria: Para mayor información o valores de periodos anteriores a enero de 2019 empalmados en base diciembre 2018 para la serie “IPC por ciudad” del Índice de Precios al Consumidor – Base 2018 por favor consultar la página web del DANE (https://www.dane.gov.co), Sistema de consulta base 2018.

   Nota aclaratoria: La serie “IPC por ciudad”– Base 2018- según la metodología  (base 2018) realizada por el DANE para el cálculo del IPC incluye 38 ciudades (32 capitales de departamento y 6 municipios priorizados).

   Nota aclaratoria: Hasta el año 2018 para la serie ""IPC por ciudad"" – Base 2018 el DANE generó variaciones de las ciudades de Quibdó y San Andrés. A partir del año 2019 estas variaciones se encuentran junto a Rionegro, San Andrés de Tumaco, Barrancabermeja, Buenaventura, Arauca, Yopal, Mocoa, San Andrés, Leticia, Inírida, San José del Guaviare, Mitú y Puerto Carreño en la serie ""Otras áreas urbanas"".

    Nota aclaratoria: La serie IPC por ciudad para “Otras áreas urbanas” Base 2018 hace referencia a la agregación de ciudades y municipios compuestos por: Yopal, Inírida, Puerto Carreño, Arauca, Leticia, Mitú, San José del Guaviare, San Andrés de Tumaco, Buenaventura, Barrancabermeja, Rionegro, San Andrés, Mocoa y Quibdó.

"
